field1,field2,field3
* Work From Home Down Payment Assistance Program*,"QR Code Link to This Post
            
        
We are a Down Payment Assistance Grant program in collaboration with Real Estate Mortgage Grants and Down Payment Assistance, Inc, a 501 (c)(3) non-profit organization.

We are revolutionizing the Real Estate Market/Industry taking the most successful business model in the industry into a completely virtual environment with solid backing from one of the strongest and best-known companies in America.
 
This is a realistic 6-figure plus income opportunity for a highly motivated individual who is willing to follow a PROVEN SYSTEM and put in the work.

You bring the skills, attitudes, and habits of success... We teach you the details.

Start Full Time or Part Time.

We do everything online: Live training 4 times weekly via Livestream presentations, recorded training 24/7 on video, and our client presentations are done via private web conferences using screen-sharing technology.

Our system enables individuals new to the industry to earn great income as they learn the business, and it enables seasoned industry professionals to expand their business from their local hometown to the entire country. 

We are looking for self-motivated achievers who are looking for the freedom and flexibility to work on their own schedule from a virtual office in a REAL business of their own, with one of the strongest companies in the industry. 
Set your own hours... we pay for RESULTS, not attendance... so if you're looking for a job, this is not for you....but if you're looking for a SYSTEM that can allow you to get to a level of income that just has not been possible before, then we might be a match...

We don't punish success, we throw money at it.
What we offer...

1. NO LIMITS on your income... Be paid what you're really worth
2. Commission advances, overrides, paid on 8 levels
3. Great quality of life… work from anywhere
4. Flexible hours / Time Freedom... you're the boss
5. Fun, supportive, and positive team culture
6. A marketing position that doesn't require any selling
7. Thorough training both live and recorded, personal mentoring
8. Company-wide recognition for significant achievement
9. Leadership that cares about your success
10. Leveraged and residual income over time
11. Calls are received and transferred from our call center to you.

Most importantly, an opportunity to make a real difference in people's lives while you escape the 9-5 rat race and take back control of your life while helping others.

What we DON'T do...
1. No cold calling
2. No evening or weekend appointments away from home
3. No wasting time-fighting traffic
4. No dress code
5. No quotas or minimums
6. No micro-managing
7. No corporate favoritism. Payment based on results, not politics

Who We Are Looking For. . . .

Our ideal candidate must be a self-motivated winner who is HUNGRY and just looking for the right opportunity, the right team, and the right SYSTEM. Must have strong communication and ""people skills"", a great attitude, HIGH INTEGRITY, enjoy helping people and be willing to put in the time and work that we all know is required in order to achieve extraordinary success.

This is a 1099 independent contractor position. Income is based on results.
Realtor’s license not required Must pass Certification Exam which is required to participate with leads from Call Center
 
Must-Have:
* LAPTOP AND/OR COMPUTER (A MUST)
* Hard Worker
* Responsible
* Communication skills
* Phone
* Determined and want to make money
* Listen and Learn (must be coachable)
* Great Customer Service skills
* Friendly
* Common Sense
* Patience
* Organized 
* Get your own business email account
* 1099 Independent Contractor
* Paid on Performance
* Looking for someone Long Term",compensation: Up to $750 per hour
Female Models - Fun and Artistic,"QR Code Link to This Post
            
        
I’m an artist interested in doing some foot modeling photography.   

Feet are polarizing; some love, some hate - but I think it’s a unique thing.  

Looking to collaborate with some cool who girls in their 20s (college or grad students) and make something artistic and fun.  

Just something different! 

*** I’m not looking for professional models, just chill girls to photo as an art project ***

 If you’re interested shoot me a text or email with a face picture. 


 Also hit me up with any questions.  


Will be fun meeting ya. 

Thanks 
Jack",compensation: TBD
CASHMERE SWEATERS AD NEEDS MODELS,"QR Code Link to This Post
            
        
Hiring Both Males And Females Ages 18-27


Our Collections Consists Of Turtle Neck, Crew Neck And Button Down Sweaters 

Sizes Small Medium and Large   

Shooting Begins January 31st in Manhattan

Pays $1000/day

Please Reply With The Following Information
Phone Number
Name
Age
Sweater Size
Photo (Can Be A Selfie)
Phone Number to be contacted*",compensation: $1000/day
Freelance Design,"QR Code Link to This Post
            
        
Designer needed to create Advertisement for short/long term project in New York City. Must know In design and work from home. Must submit print ready files for ads that are mainly full page, but may also vary in terms of size. Contact us for details on project but must have a solid portfolio and experience in creating ads for magazines.
We pay a flat rate for each ad within two weeks of completion. If you are interested please email your past creative samples.",compensation: Flat Rate
Male and Female Life Drawing Models Wanted,"QR Code Link to This Post
            
        
We're seeking professional male and female life drawing models. Models must be reliable, punctual and professional. Previous experience posing nude for schools and classes is preferred but not mandatory. Willing to work with the right individuals. Sessions will be in the evening from 6:30pm - 9:30pm on Mondays or Tuesdays. Timing may change to 7pm - 10pm. Possible sessions on Sundays in the future as well. Posing will consist of several quick warm up poses followed by 15-30 minute poses then one last long pose. Model will get breaks every 20-30 minutes. Your pay will be given out at the end of every session. Feel free to ask any questions and looking forward to hear from you.",compensation: $25 per hour for experienced models.
Plus size model,"QR Code Link to This Post
            
        
Fit models needed to try out size 18-22 jeans for a Boston Brand. If a size 16-24 of another brand fits you well, would love to hear back from you. We need to do a fit test so we'll have our designer evaluate how the jeans fit in a 1-2 hour session.",compensation: $50-$100 per hour
App Coder and Developer,"QR Code Link to This Post
            
        
Hi,

I am looking for someone who can develop an app quickly.
This is a complicated app but i am looking for someone who would like to become a partner. 
There will be money coming down the road - but the focus is on working as a team first.

SERIOUS INQUIRIES ONLY!",compensation: TBD
Sports Videographer,"QR Code Link to This Post
            
        
Sports video company looking to hire videographers to film soccer games in Phoenix, AZ.

Rate: $200 PLUS overtime based on length of schedule/day
Dates: 2/15, 2/16, 2/17
Location: Phoenix, AZ

Please reach out with relevant sports filming experience. Thank you",compensation: $200/day
Photographer/Videographer,"QR Code Link to This Post
            
        
Great Opportunity!

Looking for a photographer/videographer to work on a project. Great opportunity for someone with a little experience, that wants to take their work to the next level. It should only take about 4 - 5 hours per session. 

Skills that will be attained:
- Green Screen 
- Live Action
- Still Video
- Voice Overs

Professionalism is KEY! 
This is an ongoing project so  I will eventually be putting together a team. This will a be a project published to the public so it will look good on your resume and can be accesssed online. 

Please send your resume, a little about yourself, and a social media source where your current work is published.",compensation: $100-$150/session based on experience
HAVING TROUBLE FINDING THE RIGHT BUSINESS/TEAM TO JOIN UP WITH?,"QR Code Link to This Post
            
        
It is tough sometimes to find the perfect niche because some products out there are basically fads that will fizzle  out and that means sales as soon as the next big thing comes out in the world. I have personally checked out around  ten different opportunities and was just was not sure it was the right move to make. I have even joined and found that my “team” was less than supportive which did not boost my moral. 

There is a company I found that has been selling for 40+ years and only getting better. They sell Identity Theft Protection as well as advice and help with all of the services listed in the picture. Everyday this service is available to people by pressing an app on their phone for a very low monthly membership  fee. Total piece of mind not having to worry about paying thousands to an attorney if the situation arose. What Your role is would be to let others know about this great opportunity that would benefit many.

The team as a whole are awesome and supportive, always there to help with issues and offer support and care. MY team is phenomenal and I am  very fortunate to have been paired up with such great mentors. 

I am looking for people to join this team of mine and to make it even better, this is a niche you can count on to not fizzle out wondering what to do next.

The  financial reward for offering this wonderful benefit to people as well as the opportunity for you to quickly scale up within the company is skies the limit so if you are great with people, networking and have the vision and the drive to work hard and be a gigantic success in 2020 please email me and I will connect with you. 

I would love to see you make your first sale .. or three today! Thanks for your time, ClaireAnne Collins",compensation: Will discuss on the phone
